route_id,route_long_name,service_id
11832,Ludmilla Primary School To Darwin High/Middle Schools,
12117,School Service,
12146,Palmerston Interchange To Zuccoli Schools Via Farrar and Johnston,
12498,Sanderson Middle School To Casuarina Interchange,
12521,Zuccoli Schools To Palmerston Interchange Via Johnston and Farrar,
12543,School Service,
12726,Orbital 2,4
13095,Orbital 1,4
13468,"Casuarina, Alawa, Jingili, Moil, Anula",1
13468,"Casuarina, Alawa, Jingili, Moil, Anula",1
13962,Howard Springs Primary School To Gulnare / Stuart Highway,
13992,Nakara Primary School To Casuarina Interchange,
14023,Palmerston Interchange To Sacred Heart Primary School,
14034,Palmerston Senior College To Palmerston Interchange,
14161,Wagait Estate To Mandorah Jetty,
14166,Mandorah Jetty To Wagait Estate,
14239,Muirhead To Marrara Christian School,
14268,Palmerston College 7-9 To Palmerston Interchange,
14281,Palmerston Interchange To Essington School,
14326,Essington School To Palmerston Interchange,
14490,"Royal Darwin Hospital, Diabetes Australia",4
14515,Bees Creek Palmerston,3
14515,Bees Creek Palmerston,4
14608,Karama Darwin Semi Express,4
14740,"Casuarina, Wanguri, Lyons, Muirhead ",1
14740,"Casuarina, Wanguri, Lyons, Muirhead ",4
14740,"Casuarina, Wanguri, Lyons, Muirhead ",3
14867,Leanyer Darwin Semi Express,4
14950,Hospital Precinct Darwin Semi Express,4
15151,School Service,
15260,"Darwin, Cullen Bay and Waterfront",1
15260,"Darwin, Cullen Bay and Waterfront",3
15260,"Darwin, Cullen Bay and Waterfront",4
15365,"Casuarina, Malak, Karama",1
15365,"Casuarina, Malak, Karama",3
15365,"Casuarina, Malak, Karama",4
15542,Palmerston Indigenous Village Rosebery Bellamack,1
15542,Palmerston Indigenous Village Rosebery Bellamack,3
15542,Palmerston Indigenous Village Rosebery Bellamack,4
15628,School Service,
15731,"Millner, Rapid Creek, Alawa",4
15896,Palmerston Bakewell Rosebery Bellamack Moulden Driver,4
15925,Casuarina Darwin Via Bagot Rd,1
15925,Casuarina Darwin Via Bagot Rd,2
15925,Casuarina Darwin Via Bagot Rd,3
15925,Casuarina Darwin Via Bagot Rd,4
16104,Palmerston Farrar Johnston Zuccoli,1
16104,Palmerston Farrar Johnston Zuccoli,3
16104,Palmerston Farrar Johnston Zuccoli,4
16299,Palmerston Durack CDU Palmerston,1
16299,Palmerston Durack CDU Palmerston,3
16299,Palmerston Durack CDU Palmerston,4
16426,Humpty Doo Coolalinga Darwin Semi Express ,4
16515,Palmerston Gunn Bakewell Rosebery,1
16515,Palmerston Gunn Bakewell Rosebery,3
16515,Palmerston Gunn Bakewell Rosebery,4
16660,Palmerston Driver Moulden,1
16660,Palmerston Driver Moulden,3
16660,Palmerston Driver Moulden,4
16803,Palmerston Berrimah Karama Casuarina,1
16803,Palmerston Berrimah Karama Casuarina,3
16803,Palmerston Berrimah Karama Casuarina,4
17198,Palmerston Darwin Via Stuart Highway,1
17198,Palmerston Darwin Via Stuart Highway,3
17198,Palmerston Darwin Via Stuart Highway,4
17691,Casuarina  Marrara  Berrimah Winnellie Darwin,4
18408,Casuarina  Darwin Via CDU & Nightcliff,1
18408,Casuarina  Darwin Via CDU & Nightcliff,2
18408,Casuarina  Darwin Via CDU & Nightcliff,3
18408,Casuarina  Darwin Via CDU & Nightcliff,4
19677,"Casuarina, Wanguri, Leanyer, Wulagi, Wagaman",1
19677,"Casuarina, Wanguri, Leanyer, Wulagi, Wagaman",3
19677,"Casuarina, Wanguri, Leanyer, Wulagi, Wagaman",4
19858,"Darwin Hospital Precinct, Tiwi, Nakara",1
19858,"Darwin Hospital Precinct, Tiwi, Nakara",3
19858,"Darwin Hospital Precinct, Tiwi, Nakara",4
19963,Darwin Stuart Park  Bayview,4
20101,School Service,
20302,School Service,
20429,School Service,
20520,Darwin Museum  Fannie Bay Parap,4
20903,Palmerston Woodroffe Gray,1
20903,Palmerston Woodroffe Gray,3
20903,Palmerston Woodroffe Gray,4
21096,School Service,
21167,School Service,
21224,School Service,
21291,School Service,
21600,School Service,
21663,School Service,
21804,School Service,
22045,School Service,
22354,School Service,
22467,School Service,
22568,School Service,
22669,School Service,
22916,School Service,
23027,School Service,
23078,School Service,
23107,School Service,
23166,School Service,
23253,"Humpty Doo, Coolalinga, Virginia, Noonamah, Palmerston",3
23253,"Humpty Doo, Coolalinga, Virginia, Noonamah, Palmerston",4
23446,Humtpy Doo Cox Peninsula Rd Noonamah Coolalinga Palmerston,3
23446,Humtpy Doo Cox Peninsula Rd Noonamah Coolalinga Palmerston,4
23605,Humpty Doo Mcminns Lagoon Howard Springs Palmerston,3
23605,Humpty Doo Mcminns Lagoon Howard Springs Palmerston,4
23694,Humpty Doo Girraween Howard Springs Palmerston,3
23694,Humpty Doo Girraween Howard Springs Palmerston,4
23749,School Service,
23892,School Service,
24135,School Service,
24397,School Service,
24523,School Service,
24747,School Service,
25018,School Service,
25079,School Service,
25128,School Service,
25163,School Service,
25186,School Service,
25223,School Service,
25260,School Service,
25297,School Service,
25404,School Service,
25451,School Service,
25460,School Service,
25477,School Service,
25520,School Service,
25575,Palmerston Kokoda Industries ,1
25582,Darwin Middle / High Schools To Karama,
25775,Moulden Primary School To Palmerston Interchange,
25800,Palmerston Durack Heights,1
25800,Palmerston Durack Heights,3
25800,Palmerston Durack Heights,4
25815,Palmerston Palmerston Regional Hospital,1
25815,Palmerston Palmerston Regional Hospital,3
25815,Palmerston Palmerston Regional Hospital,4
25822,Nightcliff Middle School To Jingili Shopping Centre,
